Keycode,period,ECHO_PREP_CT_FEMININO_UNKNOWN AGE,ECHO_PREP_CT_15_19_FEMININO,ECHO_PREP_CT_20_24_FEMININO,ECHO_PREP_CT_25_29_FEMININO,ECHO_PREP_CT_30_34_FEMININO,ECHO_PREP_CT_35_39_FEMININO,ECHO_PREP_CT_40_44_FEMININO,ECHO_PREP_CT_45_49_FEMININO,ECHO_PREP_CT_50_FEMININO,ECHO_PREP_CT_MASCULINO_UNKNOWN AGE,ECHO_PREP_CT_15_19_MASCULINO,ECHO_PREP_CT_20_24_MASCULINO,ECHO_PREP_CT_25_29_MASCULINO,ECHO_PREP_CT_30_34_MASCULINO,ECHO_PREP_CT_35_39_MASCULINO,ECHO_PREP_CT_40_44_MASCULINO,ECHO_PREP_CT_45_49_MASCULINO,ECHO_PREP_CT_50_MASCULINO,ECHO MOZ | PREP_Menos de 3 meses desde o inicio do PrEP,ECHO_PREP_CT_KP_PID(PWID),ECHO_PREP_CT_KP_HSH,ECHO_PREP_CT_KP_TG,ECHO_PREP_CT_KP_MTS(FSW),ECHO_PREP_CT_KP_REC,ECHO MOZ | PREP_CT Test Result (Negative 3 months),ECHO MOZ | PREP_CT Test Result (Other 3 months),ECHO MOZ | PREP_CT Test Result (Positive 3 months),"ECHO MOZ | PREP_Numero de utentes que voltaram para qualquer visita de seguimento apos 30 dias, KP Mullheres Lactantes","ECHO MOZ | PREP_Actualmente em PrEP (Mês em referencia): PrEP_CURR, KP Gravida"
200525,2022Q1,0,1,4,5,6,2,0,0,0,0,0,1,2,0,1,1,1,1,,,,,,,,,,,
200165,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200459,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
201645,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200937,2022Q1,0,1,17,10,16,8,10,2,4,0,0,3,8,7,7,2,5,12,0,0,0,0,1,0,19,0,0,,
200657,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200576,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200513,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200552,2022Q1,0,0,2,4,3,2,1,0,2,0,1,0,1,0,0,0,0,0,,,,,,,,,,,
200530,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200586,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200532,2022Q1,0,0,3,3,2,0,0,0,0,0,0,4,0,1,1,1,0,1,,0,0,0,1,0,,,,,
321330,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200500,2022Q1,0,20,68,50,35,9,4,2,1,0,0,4,3,2,2,2,1,0,0,0,0,0,212,0,87,0,0,,
200475,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200643,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200155,2022Q1,0,6,2,3,3,0,2,0,0,0,4,12,6,9,9,0,0,6,,,,,,,,,,,
200490,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
201205,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200560,2022Q1,88,14,11,7,3,11,43,73,81,1322,0,0,6,0,0,0,0,0,,,,,,,,,,,
200638,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200563,2022Q1,0,1,3,2,0,2,5,1,0,0,0,0,2,1,1,2,0,0,0,,,,6,,0,0,0,,
200593,2022Q1,0,0,3,4,2,2,0,0,0,0,0,4,5,2,0,0,0,0,,,,,,,7,,,,
200572,2022Q1,0,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,0,,0,,
200469,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200484,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200533,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200180,2022Q1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
201657,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200613,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200590,2022Q1,0,0,1,1,0,0,1,2,1,0,0,0,0,1,1,0,0,1,,,,,,,,,,,
200452,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200501,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
201658,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200195,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200616,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200523,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
