Keycode,period,orgunitlevel2,orgunitlevel3,dhis_organisationunitid,dhis_organisationunitname,datim_organisationunitid,datim_organisationunitname,dataelement,value
200155,2022Q3,Niassa,Cidade de Lichinga,kTLJHJShXJC,CS Lichinga,BRlA0HkkMGM,Lichinga CS,ECHO_PREP_CT_KP_MTS(FSW),18.0
200180,2022Q3,Niassa,Mandimba,KqIfEtf5mj8,CS Mandimba,GDCM1IWa7Zh,Mandimba CS,ECHO_PREP_CT_KP_MTS(FSW),22.0
200192,2022Q3,Niassa,Cuamba,mY5o8jTjIKb,CS Cuamba,kdUL3XxL1bF,Cuamba CS,ECHO_PREP_CT_KP_REC,1.0
200155,2022Q3,Niassa,Cidade de Lichinga,kTLJHJShXJC,CS Lichinga,BRlA0HkkMGM,Lichinga CS,ECHO_PREP_CT_KP_REC,1.0
200180,2022Q3,Niassa,Mandimba,KqIfEtf5mj8,CS Mandimba,GDCM1IWa7Zh,Mandimba CS,ECHO_PREP_CT_KP_REC,25.0
200192,2022Q3,Niassa,Cuamba,mY5o8jTjIKb,CS Cuamba,kdUL3XxL1bF,Cuamba CS,ECHO_PREP_CT_KP_AHDJ,7.0
200155,2022Q3,Niassa,Cidade de Lichinga,kTLJHJShXJC,CS Lichinga,BRlA0HkkMGM,Lichinga CS,ECHO_PREP_CT_KP_AHDJ,3.0
200180,2022Q3,Niassa,Mandimba,KqIfEtf5mj8,CS Mandimba,GDCM1IWa7Zh,Mandimba CS,ECHO_PREP_CT_KP_AHDJ,3.0
200192,2022Q3,Niassa,Cuamba,mY5o8jTjIKb,CS Cuamba,kdUL3XxL1bF,Cuamba CS,ECHO_PREP_CT_KP_AR,7.0
200155,2022Q3,Niassa,Cidade de Lichinga,kTLJHJShXJC,CS Lichinga,BRlA0HkkMGM,Lichinga CS,ECHO_PREP_CT_KP_AR,
200180,2022Q3,Niassa,Mandimba,KqIfEtf5mj8,CS Mandimba,GDCM1IWa7Zh,Mandimba CS,ECHO_PREP_CT_KP_AR,
