Keycode,period,"echo_TX_NEW_N_Preg_Feeding | Breastfeeding, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | <1, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 1-4, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 5-9, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 10-14, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 15-19, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 20-24, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 25-29, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 30-34, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 35-39, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 40-44, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 45-49, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 50+, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | Unknown Age, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | <1, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 1-4, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 5-9, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 10-14, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 15-19, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 20-24, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 25-29, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 30-34, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 35-39, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 40-44, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 45-49, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 50+, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | Unknown Age, Female, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | FSW, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | MSM, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | PWID, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | People in prisons and other enclosed settings, Positive",TX_NEW_N_2MONTHS_All Patients,TX_NEW_N_2MONTHS_Pregnant Women,TX_NEW_N_2MONTHS_Breastfeeding,TX_NEW_N_2MONTHS_Children (0-14 Yrs),TX_NEW_N_2MONTHS_Non-Pregnant Adults
200588,2022Q1,0,0,1,0,2,0,0,4,8,12,4,8,5,0,0,0,0,1,4,8,6,22,10,4,3,2,0,0,0,0,0,66,10,0,0,56
201698,2022Q1,1,0,0,1,0,0,2,9,4,4,3,1,5,0,0,0,1,0,4,9,13,8,4,1,0,1,0,0,0,0,0,43,9,1,1,32
200032,2022Q1,0,1,0,0,0,0,2,1,5,5,4,8,5,0,0,0,1,1,1,7,9,3,5,2,2,2,0,2,0,0,0,40,6,0,2,32
200615,2022Q1,0,0,1,1,1,1,2,8,8,5,2,3,0,0,0,0,3,2,4,11,17,10,8,6,0,3,0,0,0,0,0,52,12,0,1,39
200463,2022Q1,1,1,1,1,0,0,3,5,7,8,3,2,3,0,1,1,1,0,2,12,12,12,10,4,0,1,0,5,0,0,0,59,4,1,5,49
200604,2022Q1,2,0,1,0,0,0,3,4,3,2,1,1,4,0,0,0,0,1,1,2,2,3,2,4,1,3,0,0,0,0,2,23,1,1,0,21
200542,2022Q1,1,0,1,0,0,1,0,2,4,6,2,3,6,0,0,0,0,0,1,4,7,3,4,3,0,2,0,0,0,0,0,37,2,0,1,34
200538,2022Q1,0,1,1,0,2,0,0,1,2,4,5,0,8,0,0,0,0,0,0,9,8,6,4,3,4,2,0,0,0,0,0,32,5,0,2,25
200561,2022Q1,1,0,1,1,1,0,0,5,8,6,2,3,7,0,0,1,0,0,2,8,6,8,7,3,5,4,0,0,0,0,0,10,2,0,0,8
321326,2022Q1,2,0,0,0,0,0,1,7,4,11,2,1,3,0,0,2,0,1,1,8,4,3,6,1,1,0,0,0,0,0,0,37,2,2,1,32
200173,2022Q1,1,0,0,0,1,0,1,4,2,2,1,3,1,0,0,1,0,0,2,3,6,3,0,0,1,0,0,0,0,0,0,20,4,0,3,13
200522,2022Q1,7,0,0,0,1,2,3,14,9,11,0,6,4,0,0,1,0,0,5,18,27,17,10,4,4,6,0,0,0,0,0,101,9,4,2,86
200023,2022Q1,1,0,0,1,0,1,1,3,14,6,7,3,4,0,0,1,0,0,7,9,17,24,4,3,3,3,0,3,0,0,0,66,9,0,0,57
200536,2022Q1,9,2,1,1,1,1,3,7,8,9,4,7,2,0,0,2,0,2,5,18,9,10,6,2,6,3,0,0,0,0,1,64,13,5,5,41
200497,2022Q1,2,0,2,0,0,0,1,3,1,0,3,3,3,0,3,0,0,0,2,2,3,8,3,2,0,1,0,1,0,0,0,21,1,2,2,16
